"region","quintil_riqueza","n","valor","peso_muestral","indicador","indicador_label","tipo_indicador","unidad"
"Patagonia","Medio",177,2.99170426154281,77.97698656067,"media_libros","Media de libros","media","libros"
"Patagonia","Cuarto",265,4.20477467261894,107.053012625576,"media_libros","Media de libros","media","libros"
"Patagonia","Más rico",175,5.68750249268896,62.7669085114931,"media_libros","Media de libros","media","libros"
"AMBA","Más pobre",188,0.71450108243349,453.154637705402,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"AMBA","Segundo",232,0.717459608628976,608.635453851675,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"AMBA","Medio",156,0.761151162089468,300.026205495926,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"AMBA","Cuarto",159,0.657800224583623,224.576736170186,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"AMBA","Más rico",210,0.812310104166141,319.652337025592,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Cuyo","Más pobre",156,0.661799035100946,81.6239035148415,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Cuyo","Segundo",187,0.727741226602517,93.3976431939389,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Cuyo","Medio",258,0.692086234423419,112.572624788041,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Cuyo","Cuarto",218,0.849761307326,86.8581329022464,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Cuyo","Más rico",209,0.720194463507934,72.5058690416913,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NEA","Más pobre",660,0.665541185895258,384.712033782539,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NEA","Segundo",325,0.633192022580837,155.819504016373,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NEA","Medio",171,0.667229461855492,64.250803191633,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NEA","Cuarto",15,0.612461768855141,3.49509684219432,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NEA","Más rico",1,1,0.250470116448621,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NOA","Más pobre",339,0.582241882655681,331.577901764993,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NOA","Segundo",195,0.636071857728548,187.41787435007,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NOA","Medio",183,0.655746440618399,184.349375588006,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NOA","Cuarto",114,0.56254981404938,80.6842963711698,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"NOA","Más rico",56,0.655649295672115,41.9573478743609,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Pampeana","Más pobre",301,0.808829370621205,658.870318975858,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Pampeana","Segundo",275,0.824133607537308,465.072149097583,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Pampeana","Medio",292,0.780127931697497,395.78354794703,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Pampeana","Cuarto",236,0.729873647727481,272.868288062226,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Pampeana","Más rico",293,0.755123822504936,261.69474780994,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Patagonia","Más pobre",37,0.503379698162598,18.0915269595773,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Patagonia","Segundo",58,0.611351941283244,31.1174914127922,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Patagonia","Medio",176,0.55709656402904,77.9033602018088,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Patagonia","Cuarto",264,0.628747885371883,105.377846124532,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"Patagonia","Más rico",176,0.609719424219514,62.9440919862088,"prop_juguetes_caseros","Juguetes caseros","proporcion","porcentaje"
"AMBA","Más pobre",188,0.931924276606681,453.154637705402,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"AMBA","Segundo",233,0.9264774416284,609.693016267863,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"AMBA","Medio",156,0.929841473299474,300.026205495926,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"AMBA","Cuarto",158,0.957811853647207,224.069844892038,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"AMBA","Más rico",210,0.97154644258937,319.652337025592,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Cuyo","Más pobre",158,0.886227616542886,84.7168544732338,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Cuyo","Segundo",187,0.945603080694859,93.3976431939389,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Cuyo","Medio",258,0.936810396766941,112.572624788041,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Cuyo","Cuarto",218,0.970004549925678,86.8581329022464,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"Cuyo","Más rico",209,0.882245374995688,72.5058690416913,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NEA","Más pobre",662,0.87610967655728,386.626843039464,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NEA","Segundo",326,0.896879960718937,156.212177543902,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NEA","Medio",171,0.977531980072458,64.250803191633,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NEA","Cuarto",15,1,3.49509684219432,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NEA","Más rico",1,1,0.250470116448621,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NOA","Más pobre",339,0.862110781089663,331.892617543815,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
"NOA","Segundo",196,0.935726404182404,190.744546393161,"prop_juguetes_comprados","Juguetes comprados","proporcion","porcentaje"
