"region","quintil_riqueza","educ_madre","n","peso_muestral","iip_medio","iip_normalizado_medio"
"NOA","Más rico","Hasta Secundario incompleto",4,1.18999076578319,NA,NA
"NOA","Más rico","Secundario completo / Terciario o Universitario incompleto",24,18.0877879337271,NA,NA
"NOA","Más rico","Terciario completo",28,22.6795691748506,1.03317998467035,0.172196664111725
"Pampeana","Más pobre","Hasta Secundario incompleto",206,422.888878372111,0.916873931448223,0.152812321908037
"Pampeana","Más pobre","Secundario completo / Terciario o Universitario incompleto",91,225.045661865863,0.958271888375534,0.159711981395922
"Pampeana","Más pobre","Terciario completo",5,12.983180649755,NA,NA
"Pampeana","Segundo","Hasta Secundario incompleto",130,218.259701096049,0.889223826521248,0.148203971086875
"Pampeana","Segundo","Secundario completo / Terciario o Universitario incompleto",121,212.116094718198,1.21462286322556,0.202437143870926
"Pampeana","Segundo","Terciario completo",24,34.6963532833359,NA,NA
"Pampeana","Medio","Hasta Secundario incompleto",112,131.935889128735,1.16345816983658,0.193909694972764
"Pampeana","Medio","Secundario completo / Terciario o Universitario incompleto",147,234.918387937547,1.58090115661345,0.263483526102242
"Pampeana","Medio","Terciario completo",35,32.3076197145225,1.26275800739915,0.210459667899858
"Pampeana","Cuarto","Hasta Secundario incompleto",46,46.8234371690341,0.648777706734972,0.108129617789162
"Pampeana","Cuarto","Secundario completo / Terciario o Universitario incompleto",123,153.091400287274,1.4782064043796,0.246367734063266
"Pampeana","Cuarto","Terciario completo",67,72.9534506059178,2.57176845841291,0.428628076402151
"Pampeana","Más rico","Hasta Secundario incompleto",36,35.6711126579308,1.95841834052394,0.32640305675399
"Pampeana","Más rico","Secundario completo / Terciario o Universitario incompleto",120,104.233521998599,1.94720382887528,0.324533971479213
"Pampeana","Más rico","Terciario completo",138,122.074268321487,1.66347944807283,0.277246574678805
"Patagonia","Más pobre","Hasta Secundario incompleto",30,15.9901401661431,0.23873360123431,0.0397889335390516
"Patagonia","Más pobre","Secundario completo / Terciario o Universitario incompleto",7,2.10138679343419,NA,NA
"Patagonia","Segundo","Hasta Secundario incompleto",40,22.5570688344062,1.11795505866273,0.186325843110455
"Patagonia","Segundo","Secundario completo / Terciario o Universitario incompleto",15,7.84199750135703,NA,NA
"Patagonia","Segundo","Terciario completo",3,0.718425077028985,NA,NA
"Patagonia","Medio","Hasta Secundario incompleto",105,46.15543112931,0.942504863621265,0.157084143936878
"Patagonia","Medio","No sabe / no responde",1,0.145947259064293,NA,NA
"Patagonia","Medio","Secundario completo / Terciario o Universitario incompleto",66,28.5228699460117,0.851326504764254,0.141887750794042
"Patagonia","Medio","Terciario completo",5,3.15273822628405,NA,NA
"Patagonia","Cuarto","Hasta Secundario incompleto",87,41.1002007373451,0.500820890185358,0.0834701483642264
"Patagonia","Cuarto","Secundario completo / Terciario o Universitario incompleto",137,52.6342723767669,1.17918862420474,0.196531437367457
"Patagonia","Cuarto","Terciario completo",41,13.3185395114639,1.93422581214573,0.322370968690954
"Patagonia","Más rico","Hasta Secundario incompleto",29,6.368707578759,1.67024390814749,0.278373984691249
"Patagonia","Más rico","Secundario completo / Terciario o Universitario incompleto",90,34.3711562189687,1.49050938637916,0.248418231063193
"Patagonia","Más rico","Terciario completo",57,22.2042281884812,1.68133293627854,0.280222156046423
